Zip Code,Adjusted Gross Income,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Total prepared returns,Number of volunteer income tax assistance (VITA) prepared returns,Number of tax counseling for the elderly (TCE) prepared returns,"Number of volunteer prepared 
returns with
Earned Income Credit",Number of refund anticipation loan returns,Number of refund anticipation check returns,Number of elderly returns [3],Adjusted gross income (AGI) [4],Number of returns.1,Total Income Amount
98253,"$100,000 under $200,000",190,50,150,0,120,410,80,0,0,0,0,0,0,120,26197,190,26725
98253,"$200,000 or more",50,0,40,0,40,110,0,0,0,0,0,0,0,30,20262,50,20262
98257,"$1 under $25,000",630,440,120,60,250,820,150,70,40,40,0,0,70,260,7711,630,7904
98257,"$25,000 under $50,000",430,210,130,80,220,810,250,0,0,0,0,0,70,190,15872,430,16325
98257,"$50,000 under $75,000",340,140,170,40,190,650,140,0,0,0,0,0,30,200,21208,340,21704
98257,"$75,000 under $100,000",240,50,180,0,140,540,110,0,0,0,0,0,30,160,21162,240,21687
98257,"$100,000 under $200,000",340,50,290,0,200,740,120,0,0,0,0,0,0,220,46304,340,46851
98257,"$200,000 or more",90,0,90,0,70,220,40,0,0,0,0,0,0,60,32141,90,32786
98258,"$1 under $25,000",5470,4330,510,570,1520,6090,1490,130,60,70,30,30,680,910,66058,5470,67126
98258,"$25,000 under $50,000",4230,2380,970,800,1430,7780,2610,100,60,50,0,0,720,710,157184,4230,158800
98258,"$50,000 under $75,000",3350,1290,1520,480,1320,7500,2630,30,0,30,0,0,450,680,208100,3350,210275
98258,"$75,000 under $100,000",3020,730,2000,260,1200,7900,2870,30,0,30,0,0,400,560,262539,3020,264663
98258,"$100,000 under $200,000",4670,440,4030,200,2010,13660,4960,0,0,0,0,0,390,750,624588,4670,630121
98258,"$200,000 or more",680,50,610,0,440,2000,710,0,0,0,0,0,0,140,231337,680,235314
98260,"$1 under $25,000",890,660,150,60,340,1040,120,50,0,50,0,0,40,400,10202,890,10673
98260,"$25,000 under $50,000",520,290,180,50,230,890,190,30,0,30,0,0,40,240,19263,520,19884
98260,"$50,000 under $75,000",390,160,200,30,190,740,160,20,0,20,0,0,40,220,24067,390,24717
98260,"$75,000 under $100,000",270,70,200,20,140,570,100,0,0,0,0,0,0,170,23610,270,24561
98260,"$100,000 under $200,000",540,80,460,0,290,1320,320,0,0,0,0,0,20,290,73414,540,75102
98260,"$200,000 or more",220,30,190,0,150,510,110,0,0,0,0,0,0,140,90805,220,93368
98261,"$1 under $25,000",430,300,90,40,170,570,100,0,0,0,0,0,30,170,5114,430,5339
98261,"$25,000 under $50,000",280,150,110,30,140,480,90,0,0,0,0,0,30,130,10033,280,10443
98261,"$50,000 under $75,000",170,60,100,0,110,340,60,0,0,0,0,0,0,110,10590,170,10950
98261,"$75,000 under $100,000",110,30,80,0,70,230,40,0,0,0,0,0,0,80,9653,110,9998
98261,"$100,000 under $200,000",160,30,130,0,100,350,70,0,0,0,0,0,0,120,22020,160,22470
98261,"$200,000 or more",70,0,60,0,60,150,0,0,0,0,0,0,0,60,34008,70,34141
98262,"$1 under $25,000",170,140,0,0,70,210,30,0,0,0,0,0,20,70,1901,170,2009
98262,"$25,000 under $50,000",90,50,50,30,40,150,20,0,0,0,0,0,0,50,3299,90,3411
98262,"$50,000 under $75,000",60,20,30,0,30,120,20,0,0,0,0,0,0,30,3918,60,4054
98262,"$75,000 under $100,000",40,30,30,0,30,80,20,0,0,0,0,0,0,30,3461,40,3461
98262,"$100,000 under $200,000",70,0,50,0,60,130,0,0,0,0,0,0,0,70,8907,70,9164
98262,"$200,000 or more",20,0,20,0,0,50,0,0,0,0,0,0,0,0,9817,20,9817
98264,"$1 under $25,000",2970,2170,460,290,1100,3490,800,120,0,120,0,0,250,740,35535,2970,36277
98264,"$25,000 under $50,000",2080,960,760,310,900,4270,1440,60,0,60,0,0,230,540,75598,2080,77113
98264,"$50,000 under $75,000",1530,350,1070,90,760,4110,1510,20,0,20,0,0,120,480,95172,1530,96963
98264,"$75,000 under $100,000",1140,120,980,30,570,3370,1260,0,0,0,0,0,80,350,98830,1140,100590
98264,"$100,000 under $200,000",1370,110,1250,30,780,4280,1660,0,0,0,0,0,50,380,180343,1370,184127
98264,"$200,000 or more",340,0,320,0,280,1080,430,0,0,0,0,0,0,110,153344,340,157890
98266,"$1 under $25,000",640,390,130,120,170,1060,350,40,0,40,0,0,110,110,7920,640,8060
98266,"$25,000 under $50,000",460,210,170,100,160,1020,390,0,0,0,0,0,80,70,16527,460,16678
98266,"$50,000 under $75,000",230,70,140,0,90,560,190,0,0,0,0,0,50,40,13731,230,13865
98266,"$75,000 under $100,000",70,20,60,0,30,200,70,0,0,0,0,0,0,20,6018,70,6018
98266,"$100,000 under $200,000",100,0,80,0,60,260,70,0,0,0,0,0,0,30,15796,100,15934
98266,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98267,"$1 under $25,000",80,50,30,30,20,120,30,0,0,0,0,0,20,50,963,80,963
98267,"$25,000 under $50,000",60,50,0,0,30,90,40,0,0,0,0,0,0,0,2049,60,2150
98267,"$50,000 under $75,000",30,0,30,0,0,60,0,0,0,0,0,0,0,30,1781,30,1781
98267,"$75,000 under $100,000",20,0,0,0,20,50,20,0,0,0,0,0,0,0,1798,20,1798
98267,"$100,000 under $200,000",20,0,20,0,0,50,0,0,0,0,0,0,0,0,2879,20,2879
98267,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98270,"$1 under $25,000",6780,5130,730,860,2210,8490,2370,310,140,170,70,60,960,1140,85658,6780,86667
98270,"$25,000 under $50,000",5650,3140,1340,1050,2180,10630,3660,200,90,110,0,40,1090,1030,207238,5650,208875
98270,"$50,000 under $75,000",3760,1440,1790,470,1610,8710,3150,80,20,50,0,30,540,780,232001,3760,234004
98270,"$75,000 under $100,000",2810,630,1930,220,1180,7290,2560,40,0,40,0,0,360,550,244072,2810,245861
98270,"$100,000 under $200,000",3610,380,3090,130,1640,10270,3570,0,0,0,0,0,270,680,472822,3610,475842
98270,"$200,000 or more",350,20,310,0,220,930,280,0,0,0,0,0,0,100,103901,350,105369
98271,"$1 under $25,000",5100,4030,480,540,2390,5750,1420,160,80,90,30,40,970,830,63378,5100,63927
98271,"$25,000 under $50,000",3530,1960,830,680,1380,6450,2110,130,70,60,0,30,770,720,129233,3530,130157
98271,"$50,000 under $75,000",2320,910,1040,330,1040,5180,1830,50,0,50,0,20,390,550,142657,2320,143747
98271,"$75,000 under $100,000",1600,390,1070,120,760,3860,1180,0,0,0,0,0,190,430,138812,1600,139928
98271,"$100,000 under $200,000",1910,220,1620,80,940,5010,1490,0,0,0,0,0,140,500,248160,1910,249990
98271,"$200,000 or more",300,30,270,0,210,760,200,0,0,0,0,0,0,130,106372,300,108426
98272,"$1 under $25,000",3400,2540,390,430,1110,4210,1170,130,90,50,40,0,370,600,41999,3400,42668
98272,"$25,000 under $50,000",2710,1470,660,530,1110,5320,1970,110,60,50,0,0,380,500,98942,2710,100152
98272,"$50,000 under $75,000",1930,750,950,210,870,4550,1670,30,30,0,0,0,240,400,119896,1930,121310
98272,"$75,000 under $100,000",1580,370,1090,100,700,4190,1530,0,0,0,0,0,170,350,136936,1580,138511
98272,"$100,000 under $200,000",2230,220,1940,70,960,6600,2430,0,0,0,0,0,170,440,301226,2230,304129
98272,"$200,000 or more",490,40,440,0,300,1380,450,0,0,0,0,0,0,120,159344,490,162173
98273,"$1 under $25,000",4960,3340,600,940,1870,7320,2450,310,150,160,60,20,680,980,63621,4960,64466
98273,"$25,000 under $50,000",3760,1680,1140,850,1660,8770,3890,140,80,60,0,20,650,680,136124,3760,138068
98273,"$50,000 under $75,000",1990,640,1120,200,940,4980,1870,40,0,40,0,0,260,550,122001,1990,124096
98273,"$75,000 under $100,000",1220,240,900,70,600,3110,990,0,0,0,0,0,120,400,105748,1220,107076
98273,"$100,000 under $200,000",1460,150,1260,50,760,3950,1230,0,0,0,0,0,90,490,191615,1460,194279
98273,"$200,000 or more",300,40,260,0,240,760,200,0,0,0,0,0,0,130,130559,300,133782
98274,"$1 under $25,000",2470,1810,310,330,900,3150,840,140,60,80,0,0,290,600,30697,2470,31162
98274,"$25,000 under $50,000",1860,930,530,370,790,3690,1320,40,0,40,0,0,290,490,68131,1860,68874
98274,"$50,000 under $75,000",1270,460,680,120,580,2940,1000,30,0,30,0,0,150,460,78627,1270,79621
98274,"$75,000 under $100,000",930,160,710,50,470,2370,740,0,0,0,0,0,70,320,80773,930,81949
98274,"$100,000 under $200,000",1330,140,1180,30,720,3590,1080,0,0,0,0,0,70,480,178663,1330,181086
98274,"$200,000 or more",270,0,240,0,210,700,190,0,0,0,0,0,0,120,116642,270,118614
98275,"$1 under $25,000",2590,2130,250,180,860,2480,490,60,30,30,0,0,170,450,28664,2590,29321
98275,"$25,000 under $50,000",1810,1140,380,250,660,2910,750,60,30,30,0,0,200,380,67306,1810,68442
98275,"$50,000 under $75,000",1450,710,510,190,620,2700,740,0,0,0,0,0,140,430,90096,1450,91555
98275,"$75,000 under $100,000",1230,450,650,110,560,2610,730,0,0,0,0,0,80,400,107459,1230,109156
98275,"$100,000 under $200,000",2780,450,2170,140,1330,7360,2420,0,0,0,0,0,110,830,390716,2780,395713
98275,"$200,000 or more",1190,100,1050,30,730,3450,1210,0,0,0,0,0,0,350,441008,1190,448422
98276,"$1 under $25,000",190,130,30,30,60,270,80,0,0,0,0,0,0,50,2411,190,2472
98276,"$25,000 under $50,000",150,60,50,50,50,340,140,0,0,0,0,0,40,20,5312,150,5382
98276,"$50,000 under $75,000",130,40,90,0,50,390,170,0,0,0,0,0,30,20,8016,130,8079
98276,"$75,000 under $100,000",90,0,80,0,40,270,90,0,0,0,0,0,0,30,7930,90,7985
98276,"$100,000 under $200,000",70,0,60,0,30,210,80,0,0,0,0,0,0,0,8977,70,9115
98276,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98277,"$1 under $25,000",5190,3630,790,630,1240,7010,1680,290,0,290,0,0,760,1040,71467,5190,72634
98277,"$25,000 under $50,000",5650,2490,2350,640,1500,11800,3810,280,70,210,0,0,1130,940,202934,5650,204822
98277,"$50,000 under $75,000",2960,770,1970,190,1030,7350,2430,110,0,110,0,0,410,820,181415,2960,183515
98277,"$75,000 under $100,000",1920,270,1570,60,750,4900,1410,70,0,70,0,0,160,740,165615,1920,167185
98277,"$100,000 under $200,000",2080,190,1860,30,890,5410,1470,50,0,50,0,0,90,800,271605,2080,274640
98277,"$200,000 or more",300,30,260,0,200,720,170,0,0,0,0,0,0,160,107496,300,109294
98279,"$1 under $25,000",110,80,40,0,50,130,30,0,0,0,0,0,0,40,1266,110,1367
98279,"$25,000 under $50,000",50,40,0,0,0,80,0,0,0,0,0,0,0,20,1847,50,1847
98279,"$50,000 under $75,000",40,0,40,0,30,80,0,0,0,0,0,0,0,50,2663,40,2732
98279,"$75,000 under $100,000",20,20,0,0,0,40,0,0,0,0,0,0,0,0,1825,20,1825
98279,"$100,000 under $200,000",40,0,30,0,30,90,20,0,0,0,0,0,0,50,6087,40,6457
98279,"$200,000 or more",30,0,20,0,20,60,0,0,0,0,0,0,0,0,12185,30,12185
98281,"$1 under $25,000",220,140,50,30,90,270,30,0,0,0,0,0,20,90,2522,220,2622
98281,"$25,000 under $50,000",140,70,50,0,70,220,30,0,0,0,0,0,0,60,4915,140,5104
98281,"$50,000 under $75,000",70,30,30,0,50,130,20,0,0,0,0,0,0,40,4428,70,4552
98281,"$75,000 under $100,000",60,30,30,0,40,110,20,0,0,0,0,0,0,40,5402,60,5402
98281,"$100,000 under $200,000",90,30,60,0,60,200,60,0,0,0,0,0,0,40,11939,90,12783
98281,"$200,000 or more",50,0,40,0,50,130,30,0,0,0,0,0,0,20,30585,50,30585
98282,"$1 under $25,000",1980,1460,370,130,620,2280,310,120,0,120,0,0,130,730,24017,1980,24441
98282,"$25,000 under $50,000",1510,790,520,160,610,2600,570,60,0,60,0,0,180,610,55455,1510,56189
98282,"$50,000 under $75,000",1240,440,690,90,590,2530,610,30,0,30,0,0,150,590,76348,1240,77683
98282,"$75,000 under $100,000",1000,210,730,40,490,2260,520,30,0,30,0,0,80,460,87094,1000,88006
98282,"$100,000 under $200,000",1570,170,1350,50,860,3830,910,0,0,0,0,0,70,740,210196,1570,212778
98282,"$200,000 or more",360,30,320,0,260,840,160,0,0,0,0,0,0,210,146181,360,148761
98283,"$1 under $25,000",60,40,0,0,30,90,0,0,0,0,0,0,20,40,753,60,783
98283,"$25,000 under $50,000",40,40,40,0,0,80,40,0,0,0,0,0,0,0,1602,40,1602
98283,"$50,000 under $75,000",30,0,0,0,30,70,20,0,0,0,0,0,0,20,1727,30,1727
98283,"$75,000 under $100,000",40,0,30,0,0,90,20,0,0,0,0,0,0,0,3891,40,3891
98283,"$100,000 under $200,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98283,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98284,"$1 under $25,000",3650,2550,490,560,1280,4910,1290,130,30,110,20,0,570,830,47707,3650,48326
98284,"$25,000 under $50,000",3000,1550,820,580,1180,5780,1980,100,20,80,0,0,570,670,109706,3000,110756
98284,"$50,000 under $75,000",1850,610,1050,180,860,4300,1400,0,0,0,0,0,260,470,114575,1850,115804
98284,"$75,000 under $100,000",1210,210,910,70,560,3060,950,0,0,0,0,0,140,350,104239,1210,105155
98284,"$100,000 under $200,000",1220,120,1070,40,650,3330,1050,0,0,0,0,0,70,280,157081,1220,158482
98284,"$200,000 or more",150,0,130,0,120,390,110,0,0,0,0,0,0,60,61998,150,63618
98290,"$1 under $25,000",4200,3300,440,410,1330,4590,990,140,60,70,20,0,400,830,50560,4200,51498
98290,"$25,000 under $50,000",3150,1880,760,450,1240,5300,1430,80,30,50,0,0,440,740,115862,3150,117522
98290,"$50,000 under $75,000",2310,1000,1010,250,1050,4800,1490,50,20,30,0,0,250,630,142448,2310,144498
98290,"$75,000 under $100,000",1760,430,1190,110,830,4180,1220,0,0,0,0,0,170,540,153359,1760,155172
98290,"$100,000 under $200,000",3520,340,3080,110,1640,10020,3430,0,0,0,0,0,210,820,486574,3520,492107
98290,"$200,000 or more",970,60,880,0,640,2860,1010,0,0,0,0,0,0,230,355545,970,362566
98292,"$1 under $25,000",2970,2280,400,270,1060,3370,700,130,30,100,0,0,310,710,35436,2970,36087
98292,"$25,000 under $50,000",2180,1280,570,300,890,3770,1040,50,0,50,0,0,310,600,80500,2180,81518
98292,"$50,000 under $75,000",1600,580,830,160,740,3480,1060,30,0,30,0,0,220,540,99073,1600,100160
98292,"$75,000 under $100,000",1380,300,970,100,680,3340,1000,20,0,20,0,0,120,450,119783,1380,121051
98292,"$100,000 under $200,000",2230,240,1910,80,1150,6060,1920,0,0,0,0,0,140,590,298542,2230,301350
98292,"$200,000 or more",470,40,420,0,330,1260,370,0,0,0,0,0,0,160,205481,470,209177
98294,"$1 under $25,000",920,640,110,160,310,1280,370,40,40,0,0,0,130,190,11564,920,11694
98294,"$25,000 under $50,000",850,480,220,140,330,1640,570,0,0,0,0,0,150,160,31311,850,31589
98294,"$50,000 under $75,000",570,200,280,70,260,1350,500,0,0,0,0,0,80,110,35274,570,35655
98294,"$75,000 under $100,000",360,70,270,30,160,1000,380,0,0,0,0,0,60,70,31007,360,31292
98294,"$100,000 under $200,000",390,40,350,0,190,1120,400,0,0,0,0,0,30,90,50759,390,51317
98294,"$200,000 or more",40,0,30,0,20,80,0,0,0,0,0,0,0,0,10963,40,10963
98295,"$1 under $25,000",380,260,60,50,130,530,140,0,0,0,0,0,50,80,5073,380,5118
98295,"$25,000 under $50,000",280,130,100,70,120,620,240,0,0,0,0,0,50,60,10513,280,10677
98295,"$50,000 under $75,000",190,50,130,0,90,510,190,0,0,0,0,0,20,40,11697,190,11945
98295,"$75,000 under $100,000",120,30,90,0,70,330,120,0,0,0,0,0,20,20,10115,120,10243
98295,"$100,000 under $200,000",120,0,110,0,80,370,140,0,0,0,0,0,0,40,17970,120,18595
98295,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98296,"$1 under $25,000",2940,2520,250,150,970,2410,420,30,30,0,0,0,200,460,31164,2940,31796
98296,"$25,000 under $50,000",1700,1070,410,190,680,2790,700,70,20,50,0,0,170,370,63242,1700,64430
98296,"$50,000 under $75,000",1340,590,560,150,570,2660,760,0,0,0,0,0,120,360,83420,1340,85176
98296,"$75,000 under $100,000",1240,320,820,90,570,3030,970,0,0,0,0,0,80,380,108356,1240,109917
98296,"$100,000 under $200,000",3500,340,3020,130,1530,10400,3880,0,0,0,0,0,170,750,494940,3500,500791
98296,"$200,000 or more",1350,60,1280,0,800,4270,1640,0,0,0,0,0,30,250,474171,1350,480984
98303,"$1 under $25,000",190,120,60,30,70,250,40,0,0,0,0,0,30,80,2118,190,2161
98303,"$25,000 under $50,000",100,50,40,0,40,180,40,0,0,0,0,0,0,60,3828,100,3879
98303,"$50,000 under $75,000",70,20,40,0,30,150,50,0,0,0,0,0,0,40,4479,70,4603
98303,"$75,000 under $100,000",60,30,40,0,30,130,0,0,0,0,0,0,0,40,5556,60,5556
98303,"$100,000 under $200,000",100,0,90,0,60,230,30,0,0,0,0,0,0,60,16751,100,17103
98303,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98304,"$1 under $25,000",150,110,30,30,50,230,50,0,0,0,0,0,20,50,1949,150,2000
98304,"$25,000 under $50,000",100,70,30,0,30,180,40,0,0,0,0,0,20,40,3802,100,3862
98304,"$50,000 under $75,000",50,30,30,0,40,110,30,0,0,0,0,0,0,20,3324,50,3324
98304,"$75,000 under $100,000",30,0,30,0,0,80,20,0,0,0,0,0,0,30,2676,30,2788
98304,"$100,000 under $200,000",40,0,40,0,30,100,30,0,0,0,0,0,0,0,5673,40,5673
98304,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98305,"$1 under $25,000",60,30,40,0,20,90,0,0,0,0,0,0,20,30,650,60,650
98305,"$25,000 under $50,000",50,40,0,0,20,90,50,0,0,0,0,0,0,20,1701,50,1822
98305,"$50,000 under $75,000",40,0,50,0,40,100,50,0,0,0,0,0,0,30,3025,40,3025
98305,"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98305,"$100,000 under $200,000",20,0,0,0,0,60,0,0,0,0,0,0,0,0,3282,20,3282
98305,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98310,"$1 under $25,000",3090,2230,330,490,780,4370,1200,220,20,200,0,30,550,630,42221,3090,42691
98310,"$25,000 under $50,000",2780,1610,700,430,760,4810,1340,130,0,130,0,30,540,650,100950,2780,101919
98310,"$50,000 under $75,000",1540,670,700,150,540,3010,770,60,0,60,0,0,210,500,93881,1540,94579
98310,"$75,000 under $100,000",940,280,590,60,320,2120,590,20,0,20,0,0,110,300,81010,940,81569
98310,"$100,000 under $200,000",900,140,750,20,380,2260,610,0,0,0,0,0,60,290,116049,900,116898
98310,"$200,000 or more",90,0,80,0,60,210,40,0,0,0,0,0,0,50,30430,90,31125
98311,"$1 under $25,000",3340,2480,350,440,790,4270,1110,140,0,140,0,40,480,610,43327,3340,43929
98311,"$25,000 under $50,000",3050,1600,890,490,890,5610,1680,120,0,120,0,0,560,670,112336,3050,113406
98311,"$50,000 under $75,000",2140,680,1240,200,730,4910,1530,90,0,90,0,0,330,650,133423,2140,134765
98311,"$75,000 under $100,000",1500,280,1120,100,500,3820,1210,30,0,30,0,0,180,460,129866,1500,130900
98311,"$100,000 under $200,000",1850,170,1650,30,680,5030,1520,20,0,20,0,0,130,540,239245,1850,240839
98311,"$200,000 or more",180,0,160,0,110,470,130,0,0,0,0,0,0,60,52401,180,53508
98312,"$1 under $25,000",4490,3200,490,700,1030,6170,1660,230,0,230,0,40,770,770,60654,4490,61469
98312,"$25,000 under $50,000",4040,2160,1250,530,1150,7440,2150,120,0,120,0,30,740,820,146929,4040,148334
98312,"$50,000 under $75,000",2290,920,1130,210,750,4800,1380,60,0,60,0,0,360,600,141113,2290,142330
98312,"$75,000 under $100,000",1480,360,1030,70,560,3510,1000,40,0,40,0,0,150,440,127827,1480,128824
98312,"$100,000 under $200,000",1750,200,1500,60,720,4570,1320,0,0,0,0,0,130,530,229504,1750,231554
98312,"$200,000 or more",290,40,250,0,190,770,230,0,0,0,0,0,0,110,105224,290,106932
98315,"$1 under $25,000",640,490,110,0,110,820,110,0,0,0,0,0,90,0,12406,640,12489
98315,"$25,000 under $50,000",800,210,560,40,180,2150,790,0,0,0,0,0,170,20,28690,800,28899
98315,"$50,000 under $75,000",300,20,280,0,90,1130,540,0,0,0,0,0,100,0,18244,300,18367
98315,"$75,000 under $100,000",80,0,70,0,30,290,150,0,0,0,0,0,0,0,6748,80,6788
98315,"$100,000 under $200,000",70,0,60,0,30,210,90,0,0,0,0,0,0,0,9376,70,9436
98315,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98320,"$1 under $25,000",200,110,60,40,70,320,70,30,0,30,0,0,30,110,2521,200,2628
98320,"$25,000 under $50,000",120,50,60,0,50,230,40,0,0,0,0,0,0,70,4578,120,4625
98320,"$50,000 under $75,000",80,40,50,0,60,150,20,0,0,0,0,0,0,50,4846,80,4940
98320,"$75,000 under $100,000",40,0,40,0,0,90,20,0,0,0,0,0,0,30,3813,40,3813
98320,"$100,000 under $200,000",70,0,60,0,50,140,0,0,0,0,0,0,0,40,16013,70,16150
98320,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98321,"$1 under $25,000",1860,1470,210,170,590,2050,430,40,0,40,0,0,190,390,22292,1860,22578
98321,"$25,000 under $50,000",1480,880,340,250,600,2520,710,20,0,20,0,0,260,350,54580,1480,55179
98321,"$50,000 under $75,000",1050,420,510,110,490,2250,690,20,0,20,0,0,150,280,65183,1050,65745
98321,"$75,000 under $100,000",890,160,670,50,440,2280,710,0,0,0,0,0,100,240,77787,890,78384
98321,"$100,000 under $200,000",1450,120,1310,30,730,4220,1460,0,0,0,0,0,110,250,193396,1450,194790
98321,"$200,000 or more",220,0,200,0,160,660,240,0,0,0,0,0,0,50,83087,220,85116
98323,"$1 under $25,000",80,50,0,0,20,110,30,0,0,0,0,0,0,40,924,80,953
98323,"$25,000 under $50,000",80,40,40,30,40,160,60,0,0,0,0,0,40,0,2777,80,2777
98323,"$50,000 under $75,000",60,40,30,0,50,130,40,0,0,0,0,0,0,30,3838,60,3838
98323,"$75,000 under $100,000",40,0,30,0,0,110,40,0,0,0,0,0,0,0,3420,40,3494
98323,"$100,000 under $200,000",60,0,50,0,30,180,60,0,0,0,0,0,0,0,7949,60,7949
98323,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98325,"$1 under $25,000",390,260,90,40,110,530,90,30,0,30,0,0,30,120,4756,390,4912
98325,"$25,000 under $50,000",230,100,100,40,70,440,110,40,0,40,0,0,30,80,8398,230,8622
98325,"$50,000 under $75,000",170,60,100,0,70,360,90,0,0,0,0,0,30,70,10427,170,10648
98325,"$75,000 under $100,000",110,40,80,0,50,250,60,0,0,0,0,0,0,50,9415,110,9513
98325,"$100,000 under $200,000",130,0,120,0,80,350,100,0,0,0,0,0,0,60,22663,130,22962
98325,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98326,"$1 under $25,000",90,50,0,20,30,130,40,0,0,0,0,0,30,20,1003,90,1025
98326,"$25,000 under $50,000",70,50,30,20,20,120,30,0,0,0,0,0,0,30,2485,70,2485
98326,"$50,000 under $75,000",50,0,20,0,40,110,40,0,0,0,0,0,0,30,2949,50,2998
98326,"$75,000 under $100,000",30,0,20,0,0,70,20,0,0,0,0,0,0,0,2862,30,2862
98326,"$100,000 under $200,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98326,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98327,"$1 under $25,000",790,610,80,70,210,830,200,40,40,0,0,0,90,110,9497,790,9661
98327,"$25,000 under $50,000",900,410,340,120,270,1870,630,80,80,0,0,0,180,110,33654,900,34176
98327,"$50,000 under $75,000",910,290,510,90,300,2270,850,70,70,0,0,0,140,130,56719,910,57413
98327,"$75,000 under $100,000",600,110,460,30,240,1690,630,50,50,0,0,0,70,90,52023,600,52599
98327,"$100,000 under $200,000",840,100,710,30,330,2510,960,40,40,0,0,0,70,140,112053,840,112932
98327,"$200,000 or more",110,0,100,0,70,340,130,0,0,0,0,0,0,30,31779,110,32045
98328,"$1 under $25,000",1280,910,190,160,390,1650,420,30,30,0,0,0,180,270,15727,1280,15944
98328,"$25,000 under $50,000",1020,520,330,150,410,1930,590,0,0,0,0,0,200,270,37189,1020,37542
98328,"$50,000 under $75,000",740,250,400,70,330,1650,510,0,0,0,0,0,110,210,46066,740,46460
98328,"$75,000 under $100,000",550,80,430,50,260,1460,480,0,0,0,0,0,50,150,47757,550,48137
98328,"$100,000 under $200,000",740,80,660,0,380,2050,640,0,0,0,0,0,50,200,98242,740,98986
98328,"$200,000 or more",110,0,100,0,80,280,70,0,0,0,0,0,0,40,41062,110,42006
98329,"$1 under $25,000",1110,820,170,120,300,1440,330,30,0,30,0,0,130,260,13410,1110,13714
98329,"$25,000 under $50,000",880,430,270,160,290,1660,510,0,0,0,0,0,150,230,32853,880,33273
98329,"$50,000 under $75,000",660,230,350,80,260,1460,450,0,0,0,0,0,80,180,41330,660,41851
98329,"$75,000 under $100,000",520,110,380,20,190,1320,420,0,0,0,0,0,70,160,45405,520,45962
98329,"$100,000 under $200,000",650,70,570,20,300,1770,550,0,0,0,0,0,40,180,85553,650,86375
98329,"$200,000 or more",110,0,100,0,80,290,80,0,0,0,0,0,0,50,45723,110,46256
98330,"$1 under $25,000",50,40,30,0,0,70,0,0,0,0,0,0,0,40,716,50,716
98330,"$25,000 under $50,000",30,30,0,0,50,50,0,0,0,0,0,0,0,0,1107,30,1107
98330,"$50,000 under $75,000",30,0,20,0,0,80,40,0,0,0,0,0,0,0,2836,30,2836
98330,"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98330,"$100,000 under $200,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98330,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98331,"$1 under $25,000",820,510,120,180,330,1330,490,40,0,40,0,0,130,160,10273,820,10399
98331,"$25,000 under $50,000",610,300,190,110,290,1190,400,30,0,30,0,0,100,140,22193,610,22556
98331,"$50,000 under $75,000",350,100,210,40,160,810,250,0,0,0,0,0,50,110,21235,350,21470
98331,"$75,000 under $100,000",200,20,170,0,120,570,190,0,0,0,0,0,0,70,17713,200,17903
98331,"$100,000 under $200,000",170,30,140,0,110,430,120,0,0,0,0,0,0,70,20959,170,21482
98331,"$200,000 or more",30,0,30,0,30,80,30,0,0,0,0,0,0,0,10035,30,10035
98332,"$1 under $25,000",1710,1350,230,110,620,1790,290,40,0,40,0,0,120,490,20118,1710,20530
98332,"$25,000 under $50,000",1080,600,330,120,470,1820,410,20,0,20,0,0,130,430,39656,1080,40513
98332,"$50,000 under $75,000",900,340,470,80,440,1820,450,30,0,30,0,0,60,390,56241,900,57385
98332,"$75,000 under $100,000",890,210,620,50,450,2050,550,0,0,0,0,0,50,400,77203,890,78360
98332,"$100,000 under $200,000",1810,160,1590,50,940,4950,1540,0,0,0,0,0,90,700,253500,1810,257363
